OTUID,Taxon,Confidence
081a01a32a0ac328780d3562a8de1085,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.935350906
082b1f871d9e4437a2336368d5f29002,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__thermoamylovorans,0.999351598
084959aa1f586bf2382b3eaa25631eab,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.870378729
088cf35f30ea7a5ba1af3ea2f8cabdff,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.962868157
088eb09b6b8d6f1c98cd01ebea58c2e6,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__Exiguobacterium; s__,0.831862158
08a320ee465c066d7088e1c9f2f0e1e2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.993507839
08abbc7736ca0c69bcc304f290769e6d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.993817148
08b39cf76131fdc5f8d1f1f6be0c2feb,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999934053
08b6fded6764ec4eb53cf7d136769534,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.998278193
08be7ee7e2c933c064e9d7586f7c00aa,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,0.975722937
08d22b2dc7a67c8bc8c873c2b91a32a1,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,1
08d85759fad21c603f29b797fcbec08a,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.957078499
08e2378a397b0abc279ca880a5fd8454,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__,0.998529953
08e5996d843b3203b06163edc542cdef,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.714496623
090408666a499ea5839d75cc4cbd1e02,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__,0.999998212
0944d1c97574c64ebfc3c2d3dfcb6923,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__,0.835673547
095309e2ab466c98629e6011f0edd877,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__,0.925137766
0961a354fac72e4a6dc9e4388a2c4255,Unassigned,0.939510786
0986ca545e388c912faec3048119ff8f,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__C21_c20,0.999974309
098bc04b008c447749194557af5dbd5a,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__,0.999343688
09a334b9bb574200ce529e595401a4b7,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.977952835
09dbca088f051d4acfeba5d2576bd1fc,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.999986518
09fedad436c73f3b0ec4343416d2b96a,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999929735
0a1f5a851a6d4948bef4423eeb267c6f,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae,0.972136217
0a23d1ebf8e8629e348a6d35daaac14f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.99918351
0a26bd15d7d8ef486eb71d62c11874ef,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila,0.999999889
0a6571ae5b8f5a0e32a5393588da1fcb,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.999804559
0a9194770ab6df585329f46157d6da9f,k__Bacteria,0.920908207
0ab95c6059ac35c603cc4ee440072cca,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.985353207
0ae844eaba7edeafb1ab21a210c1f97a,k__Bacteria,0.938203921
0aeb498b89f3c0464e4d2429eb97d7c1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.969699083
0afcbf5373074e1168597ba9b273983b,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.993968282
0b11c588e7fa20725949d881db5fa63c,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,0.973973736
0b2cfae607c37bc20fc4b724e80500c9,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,0.999996727
0b2ec754114dfcb1b8e85c47d0c7b898,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999918488
0b356428e76f99225e1907ddd8706c07,k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__,0.998903553
0b594ce9c44ccbd87f9d324440fcc48f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999926433
0b9503de1e51ec5428f6d25acfbaf9b8,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae,0.999999271
0bbf87852ed648b187c1335890284295,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__,0.998796705
0c04f37ef00371f3b50e7eecc46be419,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,0.845222691
0c0d7be5fb446c35af4c8908f08e8a42,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii,0.999982688
0c443b081fb69d6f88d60364eac4d5d3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__,0.995614788
0c4b08bb7b07296e0ea1650bf04a60f6,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__C21_c20,0.999783155
0c595041c360903268044ad36e05558c,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.985909542
0c9187b39760a8ef5970df64a924bf9b,k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__,1
0cdc494e103e197fed70821cac23deed,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,0.999826441
0ceefaaa2d6d435647b72bd3e08a71df,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.942915936
0cfc6dc25d50f8a1c1c45fd89a66d3f4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.983160686
0d33e28f4c7c544bb8be8c0e6aca41a4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.971518442
0d4f31238c0dc868f1937f847ef3fe69,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__,0.857921587
0d5d50d0965127496c62e44512a1c53f,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__dolichum,0.999999442
0d71c12227f08234d9185ff62fbae7cd,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria,0.999999999
0dac0a45b50c3203da6cbbe47897de02,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.896616037
0db5d53458bf68ab4f3ca669bff9b5f3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis,0.920425864
0dc5e12ca236f832cb19c0216efec505,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__,0.976024912
0dfb156911e882a85d5c2d3188c04a99,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.999034856
0e17f5306080adc8e64d61699f14d6a6,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.99437369
0e2bb0faab453b7ea84061304d0cf9b6,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium,0.999754536
0e4131e2df0be953b6ddbaa6bd96ab54,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__yabuuchiae,0.976707214
0e5658d041cb75626285dd4064046b00,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.911373797
0e6188d9c5abd7e38c8e9fd5cfb1b18d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.999974269
0e8ab50d87123c6e20ca724eff1375c5,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__piliforme,0.999086819
0e928dfcf41c729ab6c912a4848ef1f2,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus Arthromitus; s__,1
0ea968e8470c11541f72dfcede4c8d8f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.999973148
0ec2e0ccb96997982b7f8741fd743219,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.999867537
0ee10d9534465c6b0093f796b2aaf5a4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.899624825
0ef44eaa38633505158a3dab1466cbf7,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__,0.999968416
0eff9b01e1ce29840fca8be279b2d6f6,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999999842
0f019d919f52c8500125befaf649affb,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__,0.999928488
0f8384dcf85b5fcebda26c700d3cd951,k__Bacteria,0.93298278
0f8604c7929451ac44e747f050aa715c,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__,0.998660902
0f91d01b350a3d13871fd8c43c89264a,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis,0.999670787
0fd249cc2f3a8751979fd5d568fa4be3,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999999996
100c7f197bc920ba7149b91f3eb4651b,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.88480653
101c00a240afc542f187a9d53a9b76cc,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.999998499
102adec1a05d8f2be15e62ed6902edb7,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Cloacibacterium; s__,0.999999808
102ae6c20b397f3475831c7ae06d1bcc,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.999994399
10c1a36e7182cd9b0c083097b4dabe88,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.989177653
10c608fae2519b49110373edb1d1f924,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae,0.999724074
10e543819d0af78ef7d4b5693b00691c,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999999946
11014aa63c805e049f9a41486caebd72,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.999998798
1108901e83996a68e4758af26725b002,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,0.99652237
1111c3aac756f2dfb9e339f6a0c597dc,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__,0.999987684
11164d92e7ce0a6afa389c1c2e49af0c,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.999847972
1152bfae8f11485372b52315ed335ee7,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.998806225
115a195a25fe81bd6488ea34e2f7df4c,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea,0.999999997
11915946b5c5354828c156c0385aa573,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.979330767
